date_use,Daily.Confirmed,Total.Confirmed,Daily.Recovered,Total.Recovered,Daily.Deceased,Total.Deceased
3/1/20,25,421,0,0,0,0
3/2/20,19,440,0,0,0,0
3/3/20,13,453,0,0,0,0
3/4/20,19,472,0,0,0,0
3/5/20,34,506,0,0,0,0
3/6/20,43,549,0,0,0,0
3/7/20,41,590,0,0,0,0
3/8/20,48,638,0,0,0,0
3/9/20,88,726,0,0,0,0
3/10/20,98,824,0,0,0,0
3/11/20,131,955,0,0,0,0
3/12/20,158,1113,0,0,0,0
3/13/20,152,1265,0,0,0,0
3/14/20,146,1411,0,0,0,0
3/15/20,169,1580,0,0,0,0
3/16/20,229,1809,0,0,0,0
3/17/20,212,2021,0,0,0,0
3/18/20,187,2208,0,0,0,0
3/19/20,219,2427,0,0,4,4
3/20/20,265,2692,0,0,3,7
3/21/20,199,2891,0,0,3,10
3/22/20,257,3148,0,0,4,14
3/23/20,299,3447,0,0,7,21
3/24/20,281,3728,0,0,3,24
3/25/20,439,4167,0,0,7,31
3/26/20,370,4537,0,0,4,35
3/27/20,378,4915,0,0,9,44
3/28/20,392,5307,0,0,8,52
3/29/20,375,5682,0,0,15,67
3/30/20,617,6299,0,0,11,78
3/31/20,641,6940,0,0,17,95
4/1/20,616,7556,0,0,19,114
4/2/20,621,8177,0,0,23,137
4/3/20,790,8967,0,0,26,163
4/4/20,591,9558,0,0,21,184
4/5/20,594,10152,0,0,23,207
4/6/20,542,10694,0,0,17,224
4/7/20,699,11393,0,0,25,249
4/8/20,609,12002,0,0,40,289
4/9/20,577,12579,0,0,35,324
4/10/20,581,13160,0,0,30,354
4/11/20,476,13636,0,0,30,384
4/12/20,437,14073,0,0,37,421
4/13/20,682,14755,0,0,41,462
4/14/20,664,15419,0,0,47,509
4/15/20,850,16269,0,0,35,544
4/16/20,766,17035,0,0,58,602
4/17/20,838,17873,0,0,39,641
4/18/20,612,18485,0,0,38,679
4/19/20,493,18978,0,0,36,715
4/20/20,943,19921,0,0,47,762
4/21/20,878,20799,0,0,40,802
4/22/20,783,21582,0,0,47,849
4/23/20,972,22554,0,0,51,900
4/24/20,1020,23574,0,0,44,944
4/25/20,900,24474,0,0,39,983
4/26/20,605,25079,0,0,42,1025
4/27/20,1088,26167,0,0,37,1062
4/28/20,961,27128,0,0,54,1116
4/29/20,994,28122,0,0,42,1158
4/30/20,919,29041,0,0,45,1203
5/1/20,929,29970,0,0,36,1239
5/2/20,713,30683,0,0,50,1289
5/3/20,474,31157,0,0,44,1333
5/4/20,939,32096,0,0,44,1377
5/5/20,1253,33349,0,0,37,1414
5/6/20,1010,34359,0,0,52,1466
5/7/20,957,35316,0,0,50,1516
5/8/20,1002,36318,0,0,50,1566
5/9/20,708,37026,0,0,52,1618
5/10/20,588,37614,0,0,32,1650
5/11/20,1187,38801,0,0,28,1678
5/12/20,1114,39915,0,0,48,1726
5/13/20,949,40864,0,0,43,1769
5/14/20,1242,42106,0,0,33,1802
5/15/20,1120,43226,0,0,43,1845
5/16/20,763,43989,0,0,52,1897
5/17/20,552,44541,0,0,38,1935
5/18/20,1171,45712,0,0,46,1981
5/19/20,944,46656,0,0,48,2029
5/20/20,1152,47808,0,0,30,2059
5/21/20,945,48753,0,0,28,2087
5/22/20,969,49722,0,0,43,2130
5/23/20,747,50469,0,0,35,2165
5/24/20,512,50981,0,0,39,2204
5/25/20,958,51939,0,0,28,2232
5/26/20,1702,53641,0,0,41,2273
5/27/20,1404,55045,0,0,50,2323
5/28/20,1276,56321,0,0,32,2355
5/29/20,1507,57828,0,0,33,2388
5/30/20,915,58743,0,0,37,2425
5/31/20,491,59234,0,0,31,2456
6/1/20,1229,60463,0,0,41,2497
6/2/20,1410,61873,0,0,30,2527
6/3/20,1344,63217,0,0,45,2572
6/4/20,1540,64757,0,0,46,2618
6/5/20,1388,66145,0,0,40,2658
6/6/20,1098,67243,0,0,36,2694
6/7/20,711,67954,0,0,35,2729
6/8/20,1605,69559,0,0,38,2767
6/9/20,1385,70944,0,0,37,2804
6/10/20,1570,72514,0,0,26,2830
6/11/20,1458,73972,0,0,25,2855
