date_use,total_cases,new_case,total_deaths,new_deaths,total_recovery,new_recovery
2020/3/1,429,25,0,0,,
2020/3/2,448,19,0,0,,
2020/3/3,461,13,0,0,,
2020/3/4,480,19,0,0,,
2020/3/5,514,34,0,0,,
2020/3/6,557,43,0,0,,
2020/3/7,599,42,1,1,,
2020/3/8,647,48,1,0,,
2020/3/9,735,88,1,0,,
2020/3/10,833,98,1,0,,
2020/3/11,964,131,1,0,,
2020/3/12,1122,158,1,0,,
2020/3/13,1274,152,1,0,,
2020/3/14,1419,145,1,0,,
2020/3/15,1588,169,1,0,,
2020/3/16,1817,229,1,0,,
2020/3/17,2029,212,1,0,,
2020/3/18,2216,187,1,0,,
2020/3/19,2435,219,5,4,,
2020/3/20,2700,265,8,3,,
2020/3/21,2899,199,11,3,,
2020/3/22,3156,257,15,4,,
2020/3/23,3455,299,22,7,,
2020/3/24,3736,281,25,3,,
2020/3/25,4175,439,32,7,,
2020/3/26,4545,370,36,4,,
2020/3/27,4923,378,45,9,,
2020/3/28,5315,392,53,8,,
2020/3/29,5691,376,68,15,,
2020/3/30,6308,617,79,11,,
2020/3/31,6948,640,96,17,,
2020/4/1,7564,616,115,19,,
2020/4/2,8185,621,138,23,,
2020/4/3,8975,790,164,26,,
2020/4/4,9566,591,185,21,,
2020/4/5,10159,593,208,23,,
2020/4/6,10701,542,225,17,,
2020/4/7,11400,699,250,25,,
2020/4/8,12009,609,290,40,,
2020/4/9,12586,577,325,35,,
2020/4/10,13167,581,355,30,,
2020/4/11,13643,476,385,30,,
2020/4/12,14080,437,422,37,,
2020/4/13,14761,681,463,41,,
2020/4/14,15424,663,510,47,,
2020/4/15,16275,851,545,35,,
2020/4/16,17041,766,603,58,,
2020/4/17,17879,838,642,39,,
2020/4/18,18491,612,680,38,,
2020/4/19,18984,493,716,36,,
2020/4/20,19927,943,763,47,,
2020/4/21,20805,878,803,40,,
2020/4/22,21588,783,850,47,,
2020/4/23,22560,972,901,51,,
2020/4/24,23580,1020,945,44,,
2020/4/25,24480,900,984,39,,
2020/4/26,25086,606,1026,42,,
2020/4/27,26174,1088,1063,37,,
2020/4/28,27136,962,1117,54,,
2020/4/29,28130,994,1159,42,,
2020/4/30,29049,919,1204,45,,
2020/5/1,29978,929,1240,36,,
2020/5/2,30691,713,1290,50,,
2020/5/3,31165,474,1334,44,,
2020/5/4,32101,936,1378,44,,
2020/5/5,33355,1254,1415,37,,
2020/5/6,34365,1010,1467,52,,
2020/5/7,35322,957,1517,50,,
2020/5/8,36325,1003,1567,50,,
2020/5/9,37033,708,1619,52,,
2020/5/10,37621,588,1651,32,,
2020/5/11,38809,1188,1679,28,,
