,date_use,Daily.Confirmed,Total.Confirmed,Daily.Recovered,Total.Recovered,Daily.Deceased,Total.Deceased
1,2020/3/1,25,429,24,100,0,0
2,2020/3/2,19,448,24,124,0,0
3,2020/3/3,13,461,24,149,0,0
4,2020/3/4,19,480,24,174,0,0
5,2020/3/5,34,514,24,198,0,0
6,2020/3/6,43,557,24,222,0,0
7,2020/3/7,42,599,24,247,1,1
8,2020/3/8,48,647,24,272,0,1
9,2020/3/9,88,735,24,296,0,1
10,2020/3/10,98,833,24,320,0,1
11,2020/3/11,131,964,24,345,0,1
12,2020/3/12,158,1122,24,370,0,1
13,2020/3/13,152,1274,24,394,0,1
14,2020/3/14,145,1419,24,418,0,1
15,2020/3/15,169,1588,24,443,0,1
16,2020/3/16,229,1817,24,468,0,1
17,2020/3/17,212,2029,24,492,0,1
18,2020/3/18,187,2216,24,516,0,1
19,2020/3/19,219,2435,24,541,4,5
20,2020/3/20,265,2700,19,566,3,8
21,2020/3/21,199,2899,13,584,3,11
22,2020/3/22,257,3156,19,597,4,15
23,2020/3/23,299,3455,33,615,7,22
24,2020/3/24,281,3736,42,649,3,25
25,2020/3/25,439,4175,41,691,7,32
26,2020/3/26,370,4545,47,732,4,36
27,2020/3/27,378,4923,86,779,9,45
28,2020/3/28,392,5315,96,865,8,53
29,2020/3/29,376,5691,128,961,15,68
30,2020/3/30,617,6308,155,1090,11,79
31,2020/3/31,640,6948,149,1245,17,96
32,2020/4/1,616,7564,142,1394,19,115
33,2020/4/2,621,8185,166,1536,23,138
34,2020/4/3,790,8975,224,1701,26,164
35,2020/4/4,591,9566,208,1926,21,185
36,2020/4/5,593,10159,183,2134,23,208
37,2020/4/6,542,10701,215,2317,17,225
38,2020/4/7,699,11400,260,2531,25,250
39,2020/4/8,609,12009,195,2791,40,290
40,2020/4/9,577,12586,252,2986,35,325
41,2020/4/10,581,13167,293,3238,30,355
42,2020/4/11,476,13643,275,3531,30,385
43,2020/4/12,437,14080,430,3806,37,422
44,2020/4/13,681,14761,363,4237,41,463
45,2020/4/14,663,15424,370,4599,47,510
46,2020/4/15,851,16275,384,4970,35,545
47,2020/4/16,766,17041,368,5354,58,603
48,2020/4/17,838,17879,605,5722,39,642
49,2020/4/18,612,18491,627,6327,38,680
50,2020/4/19,493,18984,604,6954,36,716
51,2020/4/20,943,19927,609,7558,47,763
52,2020/4/21,878,20805,774,8166,40,803
53,2020/4/22,783,21588,579,8941,47,850
54,2020/4/23,972,22560,581,9520,51,901
55,2020/4/24,1020,23580,531,10101,44,945
56,2020/4/25,900,24480,685,10632,39,984
57,2020/4/26,606,25086,597,11317,42,1026
58,2020/4/27,1088,26174,565,11914,37,1063
59,2020/4/28,962,27136,569,12479,54,1117
60,2020/4/29,994,28130,466,13049,42,1159
61,2020/4/30,919,29049,428,13515,45,1204
62,2020/5/1,929,29978,667,13943,36,1240
63,2020/5/2,713,30691,650,14611,50,1290
64,2020/5/3,474,31165,834,15261,44,1334
65,2020/5/4,936,32101,751,16095,44,1378
66,2020/5/5,1254,33355,821,16845,37,1415
67,2020/5/6,1010,34365,600,17666,52,1467
68,2020/5/7,957,35322,483,18266,50,1517
69,2020/5/8,1003,36325,924,18749,50,1567
70,2020/5/9,708,37033,860,19674,52,1619
71,2020/5/10,588,37621,767,20534,32,1651
72,2020/5/11,1188,38809,953,21301,28,1679
73,2020/5/12,1114,39923,1000,22254,48,1727
74,2020/5/13,949,40872,882,23253,43,1770
75,2020/5/14,1242,42114,594,24135,33,1803
76,2020/5/15,1120,43234,1066,24729,43,1846
77,2020/5/16,763,43997,943,25796,52,1898
78,2020/5/17,552,44549,974,26738,38,1936
79,2020/5/18,1171,45720,901,27712,46,1982
80,2020/5/19,944,46664,910,28613,48,2030
81,2020/5/20,1152,47816,699,29524,30,2060
82,2020/5/21,945,48761,465,30222,28,2088
83,2020/5/22,969,49730,917,30687,43,2131
84,2020/5/23,747,50477,1229,31604,35,2166
85,2020/5/24,511,50988,990,32833,39,2205
86,2020/5/25,958,51946,938,33823,28,2233
87,2020/5/26,1702,53648,983,34761,41,2274
88,2020/5/27,1404,55052,694,35744,50,2324
89,2020/5/28,1276,56328,576,36437,32,2356
90,2020/5/29,1507,57835,1164,37014,33,2389
91,2020/5/30,915,58750,1092,38178,37,2426
92,2020/5/31,492,59242,930,39270,31,2457
93,2020/6/1,1229,60471,1217,40200,41,2498
94,2020/6/2,1410,61881,1098,41417,30,2528
95,2020/6/3,1344,63225,748,42514,45,2573
96,2020/6/4,1540,64765,541,43262,46,2619
97,2020/6/5,1389,66154,1148,43803,40,2659
98,2020/6/6,1098,67252,925,44951,36,2695
99,2020/6/7,711,67963,1129,45876,35,2730
100,2020/6/8,1605,69568,926,47005,38,2768
101,2020/6/9,1385,70953,950,47931,37,2805
102,2020/6/10,1570,72523,732,48880,26,2831
103,2020/6/11,1457,73980,501,49613,25,2856
104,2020/6/12,1587,75567,939,50113,30,2886
105,2020/6/13,1329,76896,1668,51052,28,2914
106,2020/6/14,987,77883,1376,52720,29,2943
107,2020/6/15,2239,80122,1250,54096,32,2975
108,2020/6/16,2074,82196,1477,55347,24,2999
109,2020/6/17,2221,84417,897,56823,40,3039
110,2020/6/18,2135,86552,482,57720,29,3068
111,2020/6/19,2126,88678,1204,58202,37,3105
112,2020/6/20,1864,90542,1382,59407,39,3144
113,2020/6/21,1478,92020,1317,60788,30,3174
114,2020/6/22,2727,94747,1509,62106,30,3204
115,2020/6/23,2740,97487,1361,63615,22,3226
116,2020/6/24,2769,100256,1076,64976,39,3265
117,2020/6/25,2603,102859,697,66052,26,3291
118,2020/6/26,2621,105480,1573,66749,30,3321
