,,2020,2011
Ohio,county number,"11,790,587","11,544,663"
".Williams County, Ohio",1,"37,025","37,584"
".Defiance County, Ohio",2,"38,227","39,005"
".Paulding County, Ohio",3,"18,804","19,369"
".Van Wert County, Ohio",4,"28,878","28,625"
".Mercer County, Ohio",5,"42,471","40,715"
".Darke County, Ohio",6,"51,882","52,653"
".Preble County, Ohio",7,"40,964","41,986"
".Butler County, Ohio",8,"390,600","370,123"
".Hamilton County, Ohio",9,"829,909","800,658"
".Clermont County, Ohio",10,"208,635","198,859"
".Warren County, Ohio",11,"243,004","215,332"
".Montgomery County, Ohio",12,"536,629","534,558"
".Miami County, Ohio",13,"108,821","102,734"
".Shelby County, Ohio",14,"48,119","49,259"
".Auglaize County, Ohio",15,"46,411","45,741"
".Allen County, Ohio",16,"102,059","105,988"
".Putnam County, Ohio",17,"34,380","34,385"
".Henry County, Ohio",18,"27,629","28,002"
".Fulton County, Ohio",19,"42,619","42,363"
".Lucas County, Ohio",20,"430,728","439,359"
".Wood County, Ohio",21,"132,212","127,124"
".Hancock County, Ohio",22,"74,830","74,912"
".Hardin County, Ohio",23,"30,725","31,806"
".Logan County, Ohio",24,"46,065","45,623"
".Champaign County, Ohio",25,"38,705","39,824"
".Clark County, Ohio",26,"135,719","137,811"
".Greene County, Ohio",27,"168,025","163,566"
".Clinton County, Ohio",28,"41,962","41,913"
".Brown County, Ohio",29,"43,629","44,629"
".Adams County, Ohio",30,"27,434","28,459"
".Highland County, Ohio",31,"43,321","43,378"
".Fayette County, Ohio",32,"28,939","28,867"
".Madison County, Ohio",33,"43,823","43,114"
".Union County, Ohio",34,"63,077","53,095"
".Marion County, Ohio",35,"65,363","66,599"
".Wyandot County, Ohio",36,"21,854","22,643"
".Seneca County, Ohio",37,"54,990","56,522"
".Sandusky County, Ohio",38,"58,832","60,609"
".Ottawa County, Ohio",39,"40,260","41,320"
".Erie County, Ohio",40,"75,429","76,687"
".Huron County, Ohio",41,"58,439","59,416"
".Crawford County, Ohio",42,"41,928","43,310"
".Morrow County, Ohio",43,"34,964","34,810"
".Delaware County, Ohio",44,"215,062","178,535"
".Franklin County, Ohio",45,"1,324,013","1,180,800"
".Pickaway County, Ohio",46,"58,628","55,948"
".Ross County, Ohio",47,"76,985","77,581"
".Pike County, Ohio",48,"27,050","28,479"
".Scioto County, Ohio",49,"73,720","79,408"
".Lawrence County, Ohio",50,"58,132","62,415"
".Jackson County, Ohio",51,"32,642","33,124"
".Vinton County, Ohio",52,"12,784","13,380"
".Hocking County, Ohio",53,"27,999","29,466"
".Fairfield County, Ohio",54,"159,357","147,174"
".Licking County, Ohio",55,"178,680","167,164"
".Knox County, Ohio",56,"62,765","61,283"
".Richland County, Ohio",57,"124,840","123,144"
".Lorain County, Ohio",58,"313,367","301,874"
".Ashland County, Ohio",59,"52,420","53,252"
".Cuyahoga County, Ohio",60,"1,261,696","1,270,331"
".Medina County, Ohio",61,"182,550","173,504"
".Wayne County, Ohio",62,"116,840","114,649"
".Holmes County, Ohio",63,"44,194","42,793"
".Coshocton County, Ohio",64,"36,548","36,931"
".Muskingum County, Ohio",65,"86,342","86,243"
".Perry County, Ohio",66,"35,439","36,232"
".Morgan County, Ohio",67,"13,741","15,036"
".Allen County, Ohio",68,"102,059","105,988"
".Meigs County, Ohio",69,"22,118","23,648"
".Gallia County, Ohio",70,"29,193","31,031"
".Washington County, Ohio",71,"59,613","61,607"
".Noble County, Ohio",72,"14,090","14,752"
".Guernsey County, Ohio",73,"38,390","39,910"
".Tuscarawas County, Ohio",74,"93,063","92,483"
".Stark County, Ohio",75,"374,357","374,511"
".Summit County, Ohio",76,"539,530","541,325"
".Portage County, Ohio",77,"161,775","161,875"
".Geauga County, Ohio",78,"95,334","93,292"
".Lake County, Ohio",79,"232,410","229,988"
".Ashtabula County, Ohio",80,"97,413","101,085"
".Trumbull County, Ohio",81,"201,405","208,834"
".Mahoning County, Ohio",82,"227,948","237,363"
".Columbiana County, Ohio",83,"101,607","107,419"
".Carroll County, Ohio",84,"26,689","28,820"
".Harrison County, Ohio",85,"14,493","15,790"
".Jefferson County, Ohio",86,"65,107","69,035"
".Belmont County, Ohio",87,"66,235","70,122"
".Monroe County, Ohio",88,"13,354","14,613"
